4090 (Cont.),,,FORM CMS-2552-10,,,,,08-11,,
HOSPITAL WAGE INDEX INFORMATION,,, PROVIDER CCN:,, PERIOD,, WORKSHEET S-3,,,
,,,,, FROM __________,, PART II,,,
,,, ______________,, TO _____________,,,,,
Part II - Wage Data,,,,,,,,,,
,,Worksheet ,,Reclassification,Adjusted,Paid Hours,Average,,,
,,A,,of Salaries,Salaries,Related,Hourly Wage,,,
,,Line ,Amount,(from ,(column 2 ±,to Salaries,(column 4 ÷,,,
,,Number,Reported,Worksheet A-6),column 3),in column 4,column 5),,,
,,1 ,2 ,3 ,4 ,5 ,6 ,,,
, SALARIES,,,,,,,,,
1 , Total salaries (see instructions),,,,,,,1 ,,
2 , Non-physician anesthetist Part A,,,,,,,2 ,,
3 , Non-physician anesthetist Part B,,,,,,,3 ,,
4 , Physician-Part A,,,,,,,4 ,,
5 , Physician-Part B,,,,,,,5 ,,
6 , Non-physician-Part B,,,,,,,6 ,,
7 , Interns & residents (in an approved program),,,,,,,7 ,,
8 , Home office personnel,,,,,,,8 ,,
9 , SNF,,,,,,,9 ,,
10 , Excluded area salaries (see instructions),,,,,,,10 ,,
, OTHER WAGES AND RELATED COSTS,,,,,,,,,
11 , Contract labor (see instructions),,,,,,,11 ,,
12 , Management and administrative services,,,,,,,12 ,,
13 , Contract labor: physician-Part A,,,,,,,13 ,,
14 , Home office salaries & wage-related costs,,,,,,,14 ,,
15 , Home office: physician Part A,,,,,,,15 ,,
 16 , Teaching physician salaries (see instructions),,,,,,, 16 ,,
 , WAGE-RELATED COSTS,,,,,,, ,,
17 ," Wage-related costs (core) Worksheet S-3, Part IV line 24",,,,,,,17 ,,
18 ," Wage-related costs (other) Worksheet S-3, Part IV line 25",,,,,,,18 ,,
19 , Excluded areas,,,,,,,19 ,,
20 , Non-physician anesthetist Part A,,,,,,,20 ,,
21 , Non-physician anesthetist Part B,,,,,,,21 ,,
22 , Physician Part A,,,,,,,22 ,,
23 , Physician Part B,,,,,,,23 ,,
24 , Wage-related costs (RHC/FQHC),,,,,,,24 ,,
25 , Interns & residents (in an approved program),,,,,,,25 ,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"FORM CMS-2552-10 (08/2011) (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTION 4005.2 - 4005.3)",,,,,,,,,,
46-512,,,,,,,,Rev. 2,,
08-11,,,FORM CMS-2552-10,,,,,4090 (Cont.),,
HOSPITAL WAGE INDEX INFORMATION,,, PROVIDER CCN:,, PERIOD,, WORKSHEET S-3,,,
,,,,, FROM __________,, PART II & III,,,
,,, ______________,, TO _____________,,,,,
Part II - Wage Data,,,,,,,,,,
,,Worksheet ,,Reclassification,Adjusted,Paid Hours,Average,,,
,,A,,of Salaries,Salaries,Related,Hourly Wage,,,
,,Line ,Amount,(from ,(column 2 ±,to Salaries,(column 4 ÷,,,
,,Number,Reported,Worksheet A-6),column 3),in column 4,column 5),,,
,,1 ,2 ,3 ,4 ,5 ,6 ,,,
, OVERHEAD COSTS - DIRECT SALARIES,,,,,,,,,
26 , Employee Benefits,4 ,,,,,,26 ,,
27 , Administrative & General,5 ,,,,,,27 ,,
28 , Administrative & General under contract (see instructions),,,,,,,28 ,,
29 , Maintenance & Repairs,6 ,,,,,,29 ,,
30 , Operation of Plant,7 ,,,,,,30 ,,
31 , Laundry & Linen Service,8 ,,,,,,31 ,,
32 , Housekeeping,9 ,,,,,,32 ,,
33 , Housekeeping under contract (see instructions),,,,,,,33 ,,
34 , Dietary,10 ,,,,,,34 ,,
35 , Dietary under contract (see instructions),,,,,,,35 ,,
36 , Cafeteria,11 ,,,,,,36 ,,
37 , Maintenance of Personnel,12 ,,,,,,37 ,,
38 , Nursing Administration,13 ,,,,,,38 ,,
39 , Central Services and Supply,14 ,,,,,,39 ,,
40 , Pharmacy,15 ,,,,,,40 ,,
41 , Medical Records & Medical Records Library,16 ,,,,,,41 ,,
42 , Social Service,17 ,,,,,,42 ,,
43 , Other General Service ,18 ,,,,,,43 ,,
,,,,,,,,,,
Part III - Hospital Wage Index Summary,,,,,,,,,,
1 , Net salaries (see instructions),,,,,,,1 ,,
2 , Excluded area salaries (see instructions),,,,,,,2 ,,
3 , Subtotal salaries (line 1 minus line 2),,,,,,,3 ,,
4 , Subtotal other wages and related costs (see instructions),,,,,,,4 ,,
5 , Subtotal wage-related costs (see instructions),,,,,,,5 ,,
6 , Total (sum of lines 3 through 5),,,,,,,6 ,,
7 , Total overhead cost (see instructions),,,,,,,7 ,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"FORM CMS-2552-10 (08/2011) (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTION 4005.2 - 4005.3)",,,,,,,,,,
Rev. 2,,,,,,,,40-513,,
